anno,totale,senza feriti,con feriti,mortali,feriti,deceduti
1991,157,120,37,0,0,0
1992,200,150,50,0,0,0
1993,172,102,70,0,0,0
1994,379,204,171,4,261,4
1995,528,285,239,4,359,4
1996,516,236,279,1,417,1
1997,505,241,260,4,399,4
1998,626,352,272,2,466,2
1999,612,264,346,2,537,2
2000,643,345,297,1,495,1
2001,748,453,283,2,392,2
2002,887,498,386,3,562,3
2003,1178,631,541,6,778,6
2004,1218,701,509,8,937,8
2005,1135,559,570,6,863,6
2006,901,485,412,4,574,4
2007,865,350,512,3,793,3
2008,792,275,513,4,800,4
2009,935,351,577,7,929,7
2010,855,288,560,7,903,7
2011,868,340,528,2,827,2
2012,712,271,436,5,700,5
2013,617,222,393,2,573,2
2014,569,200,369,2,611,2
